id;config_name;config_value;description
1;Associate;feed National;Representative Central radical
2;Legacy Regional index;front-end;Dominican Peso Leone
3;Outdoors;out-of-the-box solution;Berkshire
4;Faroe Islands;compress Home Loan Account Pound Sterling;eyeballs Costa Rican Colon Secured
5;ivory;pixel Electronics;Agent enable intuitive
6;incentivize e-services Planner;Steel empower empower;Cotton Licensed Money Market Account
7;Down-sized;Plastic card;Unbranded Fresh Gloves Bedfordshire
8;database Vermont Home;Usability optical;Ball Universal Intelligent Plastic Chair
9;Response best-of-breed;pixel Berkshire Berkshire;policy
10;policy program;Bedfordshire Alaska intermediate;Auto Loan Account Ergonomic Granite Gloves
