id;status;phone_number;phone_name;date_time;message;is_pinned
1;pixel Persevering;utilize Malta;support deposit hacking;2021-03-09T13:35:19;Rustic Concrete Sausages Investment Account Licensed Fresh Table;false
2;Harbor;Chief Tactics Facilitator;Savings Account Generic Plastic Chicken;2021-03-09T20:19:36;Granite;false
3;niches Cyprus;Sri Lanka Rupee Sharable;Kids Cambridgeshire Avon;2021-03-09T11:07:31;Wyoming sensor Northern Mariana Islands;true
4;Arkansas Rustic Concrete Bacon Public-key;orchestrate;quantifying;2021-03-09T23:50:24;optimize Shoes;false
5;circuit Bermudian Dollar (customarily known as Bermuda Dollar) compressing;Fish;Credit Card Account Customer;2021-03-09T22:42:13;payment turquoise;false
6;static ubiquitous Burundi Franc;Associate parse;1080p;2021-03-09T11:04:52;indexing Fantastic Checking Account;true
7;JBOD;Florida users;mobile;2021-03-09T07:15:32;Outdoors backing up;true
8;white well-modulated Tasty;tangible;Director Marketing;2021-03-09T10:02:12;markets Down-sized;true
9;Music Cambridgeshire exploit;standardization index;Zloty;2021-03-09T14:54:59;Chicken parsing;true
10;e-services International Gloves;CSS;Credit Card Account;2021-03-09T08:55:29;viral ADP Granite;true
